1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1006466529-1e73 | http://is9.auto.ru/all/images/f6/87/60x45/f687f35f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 138 000 |  2008  |  84 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1004830699-a183a | http://is7.auto.ru/all/images/1f/e1/60x45/1fe1b1db.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #926547 | 140 000 |  2008  |  86 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1004015114-6be794 | http://is4.auto.ru/all/images/d1/4a/60x45/d14a04c2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 100 000 |  2004  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007169717-34dfd8 | http://is17.auto.ru/all/images/c6/aa/60x45/c6aa8a5f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 89 000 |  2004  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Иваново | 21.01.15
1004021514-07bb | http://is18.auto.ru/all/images/78/8f/60x45/788f0d08.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 40 000 |  2006  |  237 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Череповец | 21.01.15
1003842800-7aba3 | http://is15.auto.ru/all/images/42/0e/60x45/420eeafb.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 105 000 |  2004  |  151 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Пушкино | 21.01.15
49157458-c4554 | http://is2.auto.ru/all/images/f8/6c/60x45/f86c1826.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 105 000 |  2004  |  65 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Протвино | 21.01.15
1007094889-23db | http://is14.auto.ru/all/images/05/f1/60x45/05f1d221.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 137 777 |  2007  |  97 800 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007163983-9b9b58 | http://is16.auto.ru/all/images/84/6c/60x45/846cd899.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 220 000 |  2012  |  36 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1003326958-48675d | http://is6.auto.ru/all/images/49/27/60x45/4927aa3e.jpg |  ВАЗ 21141.6 MT  | #34ba2b | 130 000 |  2006  |  160 000 км  |  1.6 MTхэтчбек, бензин, передний  | Владимир | 21.01.15
1007165011-57c0 | http://is15.auto.ru/all/images/e5/16/60x45/e516fe87.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2005  |  87 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рязань | 21.01.15
1002543375-0268 | http://is6.auto.ru/all/images/48/4c/60x45/484ce493.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 115 000 |  2006  |  109 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Лобня | 21.01.15
1007164763-c9e23e | http://is13.auto.ru/all/images/67/44/60x45/6744ff6b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 180 000 |  2011  |  240 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1006797735-71f6d | http://is2.auto.ru/all/images/f4/cf/60x45/f4cfcb01.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 165 000 |  2007  |  63 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1006750417-3d54 | http://is8.auto.ru/all/images/11/cc/60x45/11cc5cf0.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 250 000 |  2013  |  21 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007046727-627ad | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 233 000 |  2012  |  17 500 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1006408285-1ef66 | http://is3.auto.ru/all/images/b2/1a/60x45/b21a6f27.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 210 000 |  2011  |  79 670 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1006516951-8ce9 | http://is4.auto.ru/all/images/4f/15/60x45/4f1541bd.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 139 000 |  2007  |  126 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007162139-dc0096 | http://is15.auto.ru/all/images/73/03/60x45/7303e64f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 70 000 |  2004  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Северодвинск | 21.01.15
1007162227-f9bb | http://is15.auto.ru/all/images/73/03/60x45/7303e64f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 70 000 |  2004  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Северодвинск | 21.01.15
1007160295-89c859 | http://is17.auto.ru/all/images/5a/bc/60x45/5abce40e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 125 000 |  2005  |  250 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Владикавказ | 21.01.15
1007159717-a3f89 | http://is6.auto.ru/all/images/7e/98/60x45/7e982554.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 120 000 |  2007  |  102 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Муром | 21.01.15
1007159767-5daf29 | http://is10.auto.ru/all/images/da/83/60x45/da83a12f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 130 000 |  2006  |  129 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1004368615-1d4776 | http://is10.auto.ru/all/images/6b/1e/60x45/6b1e9275.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 135 000 |  2005  |  72 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1006815739-6a241 | http://is6.auto.ru/all/images/17/ae/60x45/17aeb5dc.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 120 000 |  2008  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тула | 21.01.15
1007158665-63f2 | http://is8.auto.ru/all/images/8b/2b/60x45/8b2bb032.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 90 000 |  2006  |  141 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Вологда | 21.01.15
1007158547-0ee3 | http://is2.auto.ru/all/images/ca/4a/60x45/ca4a1369.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 190 000 |  2010  |  100 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Новокузнецк | 21.01.15
1007158335-9a4b65 | http://is2.auto.ru/all/images/59/a3/60x45/59a3e74d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 120 000 |  2005  |  220 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Зверево | 21.01.15
1005447951-1f540d | http://is9.auto.ru/all/images/5b/74/60x45/5b7447f5.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 95 000 |  2003  |  228 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Клин | 21.01.15
1007157325-9137 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #ffefd5 | 160 000 |  2007  |  55 537 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Саратов | 21.01.15
1006984985-6de121 | http://is2.auto.ru/all/images/20/1f/60x45/201fffcf.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 85 000 |  2003  |  230 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Клин | 21.01.15
1007157447-47c3a4 | http://is18.auto.ru/all/images/61/8c/60x45/618c689a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 130 000 |  2007  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Пенза | 21.01.15
1007113823-8fa72 | http://is3.auto.ru/all/images/62/f2/60x45/62f2a41e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 140 000 |  2009  |  84 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Вологда | 21.01.15
1007156839-fa58 | http://is18.auto.ru/all/images/df/44/60x45/df441bac.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 143 000 |  2008  |  110 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Самара | 21.01.15
1007151979-53932 | http://is5.auto.ru/all/images/bf/34/60x45/bf34b0a2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 64 999 |  2004  |  89 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007149293-39e19e | http://is18.auto.ru/all/images/5f/64/60x45/5f6438b7.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 165 555 |  2008  |  61 325 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007148167-4b060 | http://is2.auto.ru/all/images/33/c3/60x45/33c317fc.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 230 000 |  2012  |  37 442 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Домодедово | 21.01.15
1007147775-e687 | http://is17.auto.ru/all/images/f7/78/60x45/f778da4e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 211 111 |  2010  |  89 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1001629972-1062f2 | http://is11.auto.ru/all/images/ef/f4/60x45/eff41d71.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 160 000 |  2007  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007093483-7b5f | http://is3.auto.ru/all/images/aa/f0/60x45/aaf0b8f2.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 159 000 |  2009  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тула | 21.01.15
1007033823-b0f7 | http://is13.auto.ru/all/images/0d/24/60x45/0d24f083.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 185 000 |  2011  |  30 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007140101-6db1 | http://is18.auto.ru/all/images/2a/8e/60x45/2a8e0b4e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 150 000 |  2009  |  99 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007119379-dcca2 | http://is12.auto.ru/all/images/63/81/60x45/63815566.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 122 000 |  2005  |  115 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1007119393-57ffa | http://is17.auto.ru/all/images/eb/5d/60x45/eb5dd3ef.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 290 000 |  2013  |  56 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1003216590-bea6e | http://is12.auto.ru/all/images/d8/8e/60x45/d88e75f0.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 245 000 |  2011  |  18 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Воронеж | 21.01.15
1007119321-e903 | http://is13.auto.ru/all/images/fe/b6/60x45/feb656fc.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 160 000 |  2008  |  72 500 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ставрополь | 21.01.15
1007050703-b8b81 | http://is12.auto.ru/all/images/98/a8/60x45/98a81e70.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 111 000 |  2006  |  135 500 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007118967-97c3 | http://is11.auto.ru/all/images/bc/ab/60x45/bcabe6b4.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 120 000 |  2004  |  123 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Ханты-Мансийск | 21.01.15
45974280-c937a8 | http://is13.auto.ru/all/images/c3/38/60x45/c338346e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 95 000 |  2004  |  145 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Орел | 21.01.15
1007118507-a3922 | http://is14.auto.ru/all/images/92/40/60x45/9240f9cf.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 120 000 |  2006  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Орел | 21.01.15
1007118431-778d67 | http://is12.auto.ru/all/images/62/ca/60x45/62cab577.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 125 000 |  2005  |  96 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007117903-a719 | http://is15.auto.ru/all/images/32/b7/60x45/32b7a2ce.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #CACECB | 190 000 |  2010  |  140 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Ростов-на-Дону | 20.01.15
1005862381-2fa2ce | http://is10.auto.ru/all/images/c1/d9/60x45/c1d95047.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 150 000 |  2004  |  209 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Раменское | 20.01.15
1006673867-7b6e3b | http://is7.auto.ru/all/images/64/5a/60x45/645afc26.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 150 000 |  2004  |  209 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Раменское | 20.01.15
1007117493-de59 | http://is18.auto.ru/all/images/65/91/60x45/6591e961.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 180 000 |  2009  |  67 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орел | 20.01.15
1007117187-b1d31 | http://is11.auto.ru/all/images/8b/d5/60x45/8bd5d699.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 145 000 |  2008  |  108 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 20.01.15
1007116871-de9eca | http://is8.auto.ru/all/images/c7/33/60x45/c73363b7.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 310 000 |  2013  |  40 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 20.01.15
1006744381-24528 | http://is18.auto.ru/all/images/2c/f3/60x45/2cf3eb81.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 140 000 |  2005  |  45 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 20.01.15
1007109947-c70d8 | http://is1.auto.ru/all/images/95/e3/60x45/95e3efd9.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 200 000 |  2011  |  18 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Покров | 20.01.15
1007116439-2f82f | http://is5.auto.ru/all/images/4d/c8/60x45/4dc8ee5e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 115 000 |  2006  |  146 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Владимир | 20.01.15
1007116291-ea74 | http://is4.auto.ru/all/images/b5/0b/60x45/b50bdc6c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFCC00 | 170 000 |  2006  |  50 800 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Армавир | 20.01.15
1007116057-4dd9 | http://is2.auto.ru/all/images/c2/46/60x45/c246dd2b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 230 000 |  2012  |  61 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 20.01.15
1005564761-926f18 | http://is10.auto.ru/all/images/09/e3/60x45/09e349cc.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 300 000 |  2013  |  38 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 20.01.15
1002293247-89406 | http://is2.auto.ru/all/images/35/11/60x45/3511f07f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 220 000 |  2011  |  33 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 20.01.15
1007116095-d9c33 | http://is16.auto.ru/all/images/77/6e/60x45/776e07d5.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 175 000 |  2011  |  68 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Саранск | 20.01.15
1007115971-5be46 | http://is8.auto.ru/all/images/71/0d/60x45/710d5994.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 140 000 |  2008  |  87 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Пушкино | 20.01.15
1007115357-3e20 | http://is16.auto.ru/all/images/f7/ce/60x45/f7ceb0a0.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 249 000 |  2013  |  30 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 20.01.15
1007115807-c52ffe | http://is9.auto.ru/all/images/2b/72/60x45/2b72bf3f.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #FFFFFF | 225 000 |  2011  |  75 500 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Мытищи | 20.01.15
1007113533-f9ed78 | http://is6.auto.ru/all/images/df/91/60x45/df9160b7.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 140 000 |  2010  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Климовск | 20.01.15
1007115107-90310 | http://is11.auto.ru/all/images/8c/24/60x45/8c247cb0.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 160 000 |  2010  |  75 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Кузнецк | 20.01.15
1007115655-15a0 | http://is11.auto.ru/all/images/4f/f8/60x45/4ff81bd3.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 55 000 |  2003  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рыбинск | 20.01.15
1007115571-4ba215 | http://is18.auto.ru/all/images/4d/61/60x45/4d61b26d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 235 000 |  2012  |  58 789 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тверь | 20.01.15
1007115621-16a3f | http://is8.auto.ru/all/images/f6/12/60x45/f612986d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 160 000 |  2007  |  98 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 20.01.15
