1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004025150-24280 | http://is2.auto.ru/all/images/5a/d1/60x45/5ad14741.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 225 000 |  2004  |  111 111 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Орел | 11.01.15
1006027291-a1ab | http://is16.auto.ru/all/images/82/8d/60x45/828d2f1f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 155 000 |  2005  |  270 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Кисловодск | 11.01.15
1006572301-fed1 | http://is12.auto.ru/all/images/b6/5a/60x45/b65ac0e2.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 285 000 |  2006  |  82 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 11.01.15
1006572157-42cc4d | http://is6.auto.ru/all/images/0b/7e/60x45/0b7e8d6a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 260 000 |  2005  |  103 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Воронеж | 11.01.15
1006571029-de2a | http://is2.auto.ru/all/images/c7/8d/60x45/c78d3a37.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 220 000 |  2006  |  89 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 11.01.15
1006420109-41bcb8 | http://is16.auto.ru/all/images/72/09/60x45/7209d3ad.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 250 000 |  2005  |  138 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 11.01.15
1004558599-3f33f7 | http://is7.auto.ru/all/images/12/47/60x45/1247e814.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 627 300 |  2013  |  35 146 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 11.01.15
1005760811-1991f | http://is4.auto.ru/all/images/07/91/60x45/0791cc23.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 255 000 |  2005  |  86 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 11.01.15
1006559969-7617 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0088ff | 290 000 |  2005  |  213 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Новокузнецк | 11.01.15
1006519233-4f19d | http://is2.auto.ru/all/images/15/54/60x45/155410b8.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 250 000 |  2006  |  13 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Санкт-Петербург | 11.01.15
1000108709-8448b | http://is2.auto.ru/all/images/70/69/60x45/70692469.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #FF0000 | 180 000 |  2000  |  180 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Сыктывкар | 11.01.15
40334506-b285 | http://is18.auto.ru/all/images/75/90/60x45/75905e60.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 275 000 |  2006  |  96 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Киров | 10.01.15
1003835166-96e1e | http://is18.auto.ru/all/images/8a/c5/60x45/8ac518db.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 245 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Армавир | 10.01.15
1006522409-d24614 | http://is8.auto.ru/all/images/a7/72/60x45/a7723cfd.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #FF0000 | 160 000 |  1996  |  275 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 10.01.15
1006520797-5169 | http://is13.auto.ru/all/images/cd/84/60x45/cd843a5b.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #FFFFFF | 99 999 |  1998  |  260 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Волгоград | 10.01.15
1006520793-b5278 | http://is13.auto.ru/all/images/cd/84/60x45/cd843a5b.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #FFFFFF | 99 999 |  1998  |  260 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Волгоград | 10.01.15
1006520137-afe7 | http://is7.auto.ru/all/images/3b/d2/60x45/3bd29ada.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 270 000 |  2005  |  95 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 10.01.15
49999616-4d167e | http://is8.auto.ru/all/images/de/99/60x45/de996873.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 195 000 |  1998  |  206 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Воронеж | 10.01.15
1006518903-2c23 | http://is18.auto.ru/all/images/97/1e/60x45/971e274b.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #FF0000 | 150 000 |  1999  |  305 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 10.01.15
1006518017-54f5 | http://is18.auto.ru/all/images/72/f3/60x45/72f32ccb.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFCC00 | 210 000 |  2003  |  240 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Киров | 10.01.15
1003966274-81649 | http://is9.auto.ru/all/images/be/0f/60x45/be0f9876.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 280 000 |  2005  |  91 000 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 10.01.15
1004558915-8f5996 | http://is4.auto.ru/all/images/44/f1/60x45/44f17fc2.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 270 000 |  2005  |  160 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Арзамас | 10.01.15
50271654-2bde | http://is14.auto.ru/all/images/c5/ca/60x45/c5ca4b45.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 140 000 |  1998  |  247 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Вологда | 10.01.15
1006513211-d1f3 | http://is18.auto.ru/all/images/72/8b/60x45/728bbc38.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FFCC00 | 500 000 |  2006  |  102 235 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 10.01.15
1006510677-06bc7 | http://is4.auto.ru/all/images/da/b2/60x45/dab2c74b.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 140 000 |  2001  |  249 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Уфа | 10.01.15
1006510659-c468 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 490 000 |  2014  |  9 980 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Нижний Новгород | 10.01.15
1006494811-9e0f | http://is15.auto.ru/all/images/80/85/60x45/8085523b.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #9c9999 | 230 000 |  2005  |  200 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Люберцы | 10.01.15
1006471909-3cdc9 | http://is16.auto.ru/all/images/3b/38/60x45/3b3863d2.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF9966 | 190 000 |  2002  |  240 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Фурманов | 09.01.15
1006470805-a98cb | http://is12.auto.ru/all/images/f0/5e/60x45/f05e8d07.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #926547 | 210 000 |  2001  |  250 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Ярославль | 09.01.15
1006468153-17c8a6 | http://is16.auto.ru/all/images/fd/72/60x45/fd727a69.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 410 000 |  2014  |  24 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Рязань | 09.01.15
1006468911-4db75 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 310 000 |  2006  |  88 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Воронеж | 09.01.15
1004299553-9a5ab | http://is12.auto.ru/all/images/88/db/60x45/88dbbf22.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 195 000 |  2001  |  197 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Владимир | 09.01.15
1004299519-ca0533 | http://is6.auto.ru/all/images/b8/26/60x45/b8263750.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 195 000 |  2001  |  197 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Владимир | 09.01.15
1005645097-664c | http://is16.auto.ru/all/images/60/8b/60x45/608b40c7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 250 000 |  2005  |  167 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 09.01.15
1006466205-c783b5 | http://is2.auto.ru/all/images/81/e0/60x45/81e0e730.jpg |  Nissan Almera II (N16)1.5d MT (82 л.с.)  | #0000FF | 230 000 |  2003  |  160 000 км  |  1.5d MT (82 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 09.01.15
1006464787-88ccb9 | http://is5.auto.ru/all/images/2d/a8/60x45/2da8e0f7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 350 000 |  2005  |  178 854 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 09.01.15
1006463907-2610b6 | http://is7.auto.ru/all/images/75/3c/60x45/753c0f26.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #ffefd5 | 600 000 |  2014  |  13 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ногинск | 09.01.15
1003559198-b359f | http://is13.auto.ru/all/images/d5/8c/60x45/d58c8db6.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FF0000 | 280 000 |  2004  |  160 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 09.01.15
1004258611-0533c | http://is6.auto.ru/all/images/c8/32/60x45/c8328952.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 250 000 |  2005  |  138 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Ярославль | 09.01.15
29088918-55d2 | http://is15.auto.ru/all/images/07/a9/60x45/07a9ddc8.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #34ba2b | 135 000 |  1999  |  225 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Борисоглебск | 09.01.15
1006460277-21faac | http://is15.auto.ru/all/images/c2/26/60x45/c2267644.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 510 000 |  2013  |  20 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 09.01.15
47281698-e272c | http://is12.auto.ru/all/images/82/d6/60x45/82d68655.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 185 000 |  2001  |  255 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Алексин | 09.01.15
1006421405-0d36 | http://is1.auto.ru/all/images/6d/35/60x45/6d35d4e5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFCC00 | 235 000 |  2004  |  204 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Сочи | 09.01.15
1002167863-bf4018 | http://is9.auto.ru/all/images/55/26/60x45/55264b60.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #34ba2b | 155 000 |  2002  |  180 634 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Суземка | 09.01.15
1005868399-b939 | http://is9.auto.ru/all/images/2f/44/60x45/2f4449d5.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #9c9999 | 589 000 |  2014  |  3 150 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ярцево | 08.01.15
1006419141-07733 | http://is17.auto.ru/all/images/e3/c4/60x45/e3c4a8cb.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #FF0000 | 95 000 |  1997  |  300 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Егорьевск | 08.01.15
1006418391-fde9 | http://is8.auto.ru/all/images/2a/d9/60x45/2ad945e2.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #9c9999 | 170 000 |  1998  |  170 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Зеленоград | 08.01.15
1006417399-983ef | http://is18.auto.ru/all/images/58/9f/60x45/589fb9fc.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #9c9999 | 101 000 |  1997  |  313 030 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 08.01.15
23078718-82c4bb | http://is13.auto.ru/all/images/1e/2a/60x45/1e2a43d9.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 579 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 08.01.15
1006416921-94221 | http://is14.auto.ru/all/images/25/33/60x45/25339a5f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 236 000 |  2005  |  82 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 08.01.15
1006415789-f943c4 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 235 000 |  2005  |  200 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 08.01.15
1006414273-d94029 | http://is3.auto.ru/all/images/f7/ca/60x45/f7caefd9.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0000FF | 150 000 |  1997  |  198 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Воронеж | 08.01.15
33964418-ecdc | http://is8.auto.ru/all/images/ab/12/60x45/ab12aea6.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 285 000 |  2006  |  85 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Клинцы | 08.01.15
1005709843-e577fb | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #34ba2b | 170 000 |  1998  |  95 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Москва | 08.01.15
1006411395-84cc7 | http://is17.auto.ru/all/images/94/d5/60x45/94d56eb6.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 450 000 |  2013  |  50 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Зеленоград | 08.01.15
1002029755-19e62 | http://is10.auto.ru/all/images/63/49/60x45/63493490.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CC0033 | 230 000 |  2004  |  164 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Алексин | 08.01.15
47972432-f8de8 | http://is18.auto.ru/all/images/4d/89/60x45/4d8908ce.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 210 000 |  2000  |  240 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Шебекино | 08.01.15
1004266629-586f1a | http://is14.auto.ru/all/images/50/b2/60x45/50b282c5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 359 550 |  2005  |  47 972 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006361477-33b6b2 | http://is3.auto.ru/all/images/08/ef/60x45/08effbef.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #FF0000 | 205 000 |  2000  |  220 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Жуковский | 07.01.15
1006115281-d6fa9c | http://is12.auto.ru/all/images/af/45/60x45/af45a83b.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 168 000 |  2000  |  205 081 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Тверь | 07.01.15
1006319033-094d | http://is8.auto.ru/all/images/95/c5/60x45/95c5ef67.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FF0000 | 120 000 |  1997  |  185 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Брянск | 07.01.15
1006316995-87f0f7 | http://is14.auto.ru/all/images/71/ae/60x45/71ae3415.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 280 000 |  2005  |  149 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Рязань | 06.01.15
1003006466-03f36 | http://is6.auto.ru/all/images/a0/47/60x45/a047b02a.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #0000FF | 185 000 |  1998  |  167 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006315597-988818 | http://is8.auto.ru/all/images/52/9d/60x45/529d0c8a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 215 000 |  2002  |  176 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 06.01.15
1006315025-5337cf | http://is12.auto.ru/all/images/6d/2d/60x45/6d2dc1dd.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 745 000 |  2014  |  170 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Коломна | 06.01.15
1006312057-c6b3 | http://is3.auto.ru/all/images/f6/ee/60x45/f6ee1f69.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 265 000 |  2004  |  107 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006311059-571f | http://is2.auto.ru/all/images/86/ad/60x45/86ada3d5.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #CACECB | 80 000 |  1998  |  270 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Энгельс | 06.01.15
42255430-2e8846 | http://is17.auto.ru/all/images/36/88/60x45/3688a4ce.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 217 000 |  2001  |  280 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Воронеж | 06.01.15
1006021215-e91130 | http://is17.auto.ru/all/images/d4/16/60x45/d41620f0.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 600 000 |  2014  |  18 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Тихорецк | 06.01.15
1006309543-27a7 | http://is6.auto.ru/all/images/90/87/60x45/9087d180.jpg |  Nissan Almera II (N16)1.5d MT (82 л.с.)  | #CACECB | 220 000 |  2003  |  160 000 км  |  1.5d MT (82 л.с.)хэтчбек, дизель, передний  | Петрозаводск | 06.01.15
1006307913-2786 | http://is16.auto.ru/all/images/62/10/60x45/6210f626.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #34ba2b | 115 000 |  1996  |  263 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Астрахань | 06.01.15
1006307385-fb8a6 | http://is6.auto.ru/all/images/d4/da/60x45/d4da2628.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #FF0000 | 170 000 |  2002  |  210 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Орел | 06.01.15
23178248-a13e9b | http://is11.auto.ru/all/images/08/96/60x45/0896fd82.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 255 000 |  2005  |  115 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Анна | 06.01.15
1006269247-3e05 | http://is2.auto.ru/all/images/03/5b/60x45/035b889d.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 170 000 |  1999  |  230 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 06.01.15
1006268423-87905 | http://is2.auto.ru/all/images/39/41/60x45/39417084.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 275 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Курск | 06.01.15
1006267477-ef95 | http://is8.auto.ru/all/images/41/5c/60x45/415ce86c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 249 000 |  2006  |  102 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Тверь | 05.01.15
1006267113-ce907b | http://is6.auto.ru/all/images/3d/76/60x45/3d765d14.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #FFFFFF | 110 000 |  1998  |  350 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Электрогорск | 05.01.15
1006265797-3694d | http://is18.auto.ru/all/images/0d/b8/60x45/0db89928.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #34ba2b | 115 000 |  1998  |  300 000 км  |  1.6 AT (99 л.с.)хэтчбек, бензин, передний  | Липецк | 05.01.15
1005763569-03abe | http://is1.auto.ru/all/images/fa/a5/60x45/faa5f687.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 150 000 |  1997  |  235 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
1006264339-5e6a7 | http://is3.auto.ru/all/images/f9/c0/60x45/f9c0cfab.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 280 000 |  2005  |  120 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
1006262237-43086 | http://is18.auto.ru/all/images/f6/04/60x45/f604b195.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 545 000 |  2014  |  10 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Нижний Новгород | 05.01.15
1006261227-90241 | http://is2.auto.ru/all/images/06/3e/60x45/063eace0.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #FF0000 | 220 000 |  2001  |  220 000 км  |  1.8 MT (114 л.с.)седан, бензин, передний  | Рославль | 05.01.15
1006256653-6253f9 | http://is17.auto.ru/all/images/e3/e1/60x45/e3e123cb.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 280 000 |  2005  |  180 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ростов-на-Дону | 05.01.15
1006215431-dc12ca | http://is6.auto.ru/all/images/7d/4e/60x45/7d4eda83.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFCC00 | 250 000 |  2004  |  108 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 05.01.15
1002412425-cd62f | http://is10.auto.ru/all/images/a2/57/60x45/a257277b.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 310 999 |  2006  |  78 000 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Москва | 04.01.15
47780426-d9c12f | http://is6.auto.ru/all/images/19/b0/60x45/19b008f7.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 265 000 |  2004  |  78 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 04.01.15
1006162061-e62d | http://is7.auto.ru/all/images/87/63/60x45/8763c578.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 295 000 |  2006  |  125 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Окуловка | 04.01.15
1006211033-486e41 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #0000FF | 585 000 |  2013  |  600 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Воронеж | 04.01.15
1006210957-3372c | http://is15.auto.ru/all/images/7d/7b/60x45/7d7ba880.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #ffefd5 | 290 000 |  2005  |  110 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Белореченск | 04.01.15
36707950-98db | http://is8.auto.ru/all/images/4b/89/60x45/4b8998b1.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 135 000 |  1997  |  262 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 04.01.15
1006210159-e4fdd3 | http://is10.auto.ru/all/images/f6/70/60x45/f670c805.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #ffefd5 | 290 000 |  2005  |  110 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Белореченск | 04.01.15
1006210087-3e8f | http://is5.auto.ru/all/images/ce/78/60x45/ce78104e.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 646 000 |  2014  |  100 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Шахты | 04.01.15
1006209921-8c00 | http://is2.auto.ru/all/images/ef/d6/60x45/efd691b2.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #ffefd5 | 290 000 |  2005  |  110 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Белореченск | 04.01.15
1006163321-ddfda | http://is18.auto.ru/all/images/cc/37/60x45/cc373dcd.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 215 000 |  2004  |  157 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 04.01.15
1004491639-232af | http://is12.auto.ru/all/images/78/df/60x45/78dfa3f1.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 630 000 |  2014  |  1 100 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Раменское | 03.01.15
1006156767-e7b57 | http://is15.auto.ru/all/images/f8/c7/60x45/f8c73a1e.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 160 000 |  2001  |  25 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 03.01.15
1006161483-2ee8b | http://is11.auto.ru/all/images/22/f8/60x45/22f82a41.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 287 000 |  2005  |  97 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Курск | 03.01.15
1006114131-e4e9d | http://is6.auto.ru/all/images/e4/8e/60x45/e48e45fb.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #34ba2b | 130 000 |  1996  |  220 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Иваново | 02.01.15
1004085804-6096f | http://is5.auto.ru/all/images/fb/ae/60x45/fbae53cb.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 180 000 |  2001  |  197 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 02.01.15
1006109251-124f44 | http://is11.auto.ru/all/images/d8/59/60x45/d859c327.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #ffefd5 | 280 000 Правый руль |  2005  |  180 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 02.01.15
