1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1007224129-d54680 | http://is12.auto.ru/all/images/00/1d/60x45/001d067a.jpg |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #CACECB | 820 000 |  2007  |  130 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007224331-f95a93 | http://is6.auto.ru/all/images/27/3e/60x45/273ed591.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (174 л.с.) 4WD  | #000000 | 955 555 |  2009  |  62 548 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007224369-dc1cf | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B31.8 MT (90 л.с.)  | #0000FF | 194 000 |  1995  |  187 853 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007224279-f464 | http://is18.auto.ru/all/images/84/38/60x45/84382613.jpg |  Volkswagen Passat B62.0 AT (200 л.с.)  | #CACECB | 572 000 |  2007  |  92 456 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223715-429d31 | http://is13.auto.ru/all/images/b4/0f/60x45/b40f049e.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 500 000 |  2012  |  75 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224029-6a7562 | http://is18.auto.ru/all/images/c5/1f/60x45/c51f9dad.jpg |  Volkswagen Amarok2.0d MT (163 л.с.) 4WD  | #CACECB | 1 399 000 |  2011  |  128 211 км  |  2.0d MT (163 л.с.) 4WDпикап, дизель, полный  | Москва | 22.01.15
1007224111-f4b499 | http://is2.auto.ru/all/images/4f/39/60x45/4f39f7c9.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #000000 | 172 000 |  1997  |  170 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224043-d269b | http://is11.auto.ru/all/images/5f/db/60x45/5fdbf925.jpg |  Volkswagen Beetle I (A4)2.0 MT (115 л.с.)  | #CACECB | 288 888 |  2001  |  98 451 км  |  2.0 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224075-90cf1 | http://is3.auto.ru/all/images/f6/1d/60x45/f61d853e.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #34ba2b | 328 000 |  2004  |  89 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224041-28e30 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Transporter T41.9d MT (60 л.с.)  | #FFFFFF | 309 000 |  1994  |  210 000 км  |  1.9d MT (60 л.с.)минивэн, дизель, передний  | Санкт-Петербург | 22.01.15
1007224013-30e0 | http://is11.auto.ru/all/images/23/13/60x45/23130710.jpg |  Volkswagen Touareg I3.0d AT (224 л.с.) 4WD  | #34ba2b | 770 000 |  2007  |  115 000 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007223529-8c42ac | http://is3.auto.ru/all/images/27/f2/60x45/27f204b0.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 428 000 |  2011  |  37 398 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223881-b25b9 | http://is7.auto.ru/all/images/91/18/60x45/9118b077.jpg |  Volkswagen Passat B5 Рестайлинг1.9d AT (130 л.с.)  | #0000FF | 344 444 |  2003  |  120 000 км  |  1.9d AT (130 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007223913-dc32 | http://is9.auto.ru/all/images/9f/a7/60x45/9fa75b2e.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #000000 | 350 000 |  2009  |  98 000 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223749-970cd1 | http://is3.auto.ru/all/images/5c/39/60x45/5c3917b2.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.) 4WD  | #34ba2b | 259 999 |  2002  |  80 000 км  |  1.8 AT (170 л.с.) 4WDуниверсал, бензин, полный  | Москва | 22.01.15
1007223791-45a17 | http://is12.auto.ru/all/images/76/1e/60x45/761e63d3.jpg |  Volkswagen Passat B5 Рестайлинг2.8 AT (193 л.с.) 4WD  | #9c9999 | 277 777 |  2005  |  77 610 км  |  2.8 AT (193 л.с.) 4WDуниверсал, бензин, полный  | Москва | 22.01.15
1007223771-0e2ade | http://is16.auto.ru/all/images/12/e5/60x45/12e557ff.jpg |  Volkswagen Passat B5 Рестайлинг1.9d AT (130 л.с.)  | #CACECB | 322 222 |  2005  |  98 700 км  |  1.9d AT (130 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007223821-7b6f | http://is15.auto.ru/all/images/f0/f3/60x45/f0f389a5.jpg |  Volkswagen Passat B5 Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 285 555 |  2000  |  135 000 км  |  1.6 AT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007223735-2d31b | http://is12.auto.ru/all/images/c7/4f/60x45/c74f8e94.jpg |  Volkswagen Tiguan I2.0d AT (140 л.с.) 4WD  | #0000FF | 1 055 505 |  2010  |  42 231 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007223717-bd4fee | http://is6.auto.ru/all/images/7f/1b/60x45/7f1b4633.jpg |  Volkswagen Bora1.6 MT (110 л.с.)  | #CACECB | 229 000 |  2004  |  97 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007223719-75e3 | http://is16.auto.ru/all/images/2f/86/60x45/2f86b516.jpg |  Volkswagen Passat B5 Рестайлинг1.9d AT (101 л.с.)  | #0088ff | 255 555 |  2002  |  97 300 км  |  1.9d AT (101 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007222611-b903 | http://is5.auto.ru/all/images/f5/46/60x45/f5464e1d.jpg |  Volkswagen Passat B61.8 AT (152 л.с.)  | #000000 | 649 000 |  2010  |  136 970 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007221955-221f6 | http://is8.auto.ru/all/images/d3/a3/60x45/d3a3a6b9.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d MT (140 л.с.)  | #FFFFFF | 1 425 000 |  2010  |  58 800 км  |  2.0d MT (140 л.с.)минивэн, дизель, передний  | Ярославль | 22.01.15
1007222817-8242 | http://is13.auto.ru/all/images/42/69/60x45/42695202.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #926547 | 1 800 000 |  2011  |  55 930 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 22.01.15
1007223585-cfdc2 | http://is1.auto.ru/all/images/cf/fd/60x45/cffd866e.jpg |  Volkswagen Passat CC I2.0 AT (200 л.с.)  | #FFFFFF | 859 000 |  2009  |  84 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007223043-f832 | http://is4.auto.ru/all/images/89/60/60x45/89607c37.jpg |  Volkswagen Golf V1.4 AT (160 л.с.)  | #9c9999 | 559 000 |  2008  |  117 810 км  |  1.4 AT (160 л.с.)универсал, бензин, передний  | Ярославль | 22.01.15
1007222995-fad28b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf II1.3 MT (55 л.с.) KAT  | #FF0000 | 75 000 |  1990  |  166 980 км  |  1.3 MT (55 л.с.) KATхэтчбек, бензин, передний  | Ярославль | 22.01.15
1007223357-101e0a | http://is6.auto.ru/all/images/61/72/60x45/6172519a.jpg |  Volkswagen Jetta V1.6 AT (102 л.с.)  | #0088ff | 620 000 |  2011  |  48 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223455-bba8c | http://is8.auto.ru/all/images/fb/92/60x45/fb926d77.jpg |  Volkswagen Passat B61.8 AT (152 л.с.)  | #FFFFFF | 685 000 |  2010  |  76 000 км  |  1.8 AT (152 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007223265-8444 | http://is13.auto.ru/all/images/20/90/60x45/20902053.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #9c9999 | 377 777 |  2005  |  95 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223267-3676bb | http://is8.auto.ru/all/images/2f/86/60x45/2f865e68.jpg |  Volkswagen Passat B61.8 AT (160 л.с.)  | #000000 | 570 000 |  2009  |  64 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223245-3ddb2 | http://is18.auto.ru/all/images/de/04/60x45/de042ee1.jpg |  Volkswagen Passat B63.2 AT (250 л.с.) 4WD  | #CACECB | 647 700 |  2008  |  83 280 км  |  3.2 AT (250 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007223225-624444 | http://is3.auto.ru/all/images/97/b1/60x45/97b12a75.jpg |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #9c9999 | 655 555 |  2007  |  123 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007223145-3f47d0 | http://is15.auto.ru/all/images/63/92/60x45/6392fc11.jpg |  Volkswagen Touareg I3.2 AT (241 л.с.) 4WD  | #9c9999 | 699 999 |  2005  |  95 300 км  |  3.2 AT (241 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007223137-94b13 | http://is9.auto.ru/all/images/0b/68/60x45/0b6866e1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 455 555 |  2013  |  40 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222863-891b | http://is15.auto.ru/all/images/61/61/60x45/61618eb2.jpg |  Volkswagen Passat B63.2 AT (250 л.с.) 4WD  | #000000 | 649 000 |  2008  |  171 000 км  |  3.2 AT (250 л.с.) 4WDседан, бензин, полный  | Киров | 22.01.15
1007222907-e344d | http://is14.auto.ru/all/images/f2/0a/60x45/f20ad643.jpg |  Volkswagen Passat B61.8 AT (152 л.с.)  | #000000 | 767 700 |  2010  |  66 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222871-36a77 | http://is2.auto.ru/all/images/e5/61/60x45/e5617549.jpg |  Volkswagen Tiguan I2.0d AT (140 л.с.) 4WD  | #FFFFFF | 799 999 |  2010  |  68 520 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007222489-b809 | http://is17.auto.ru/all/images/ad/80/60x45/ad80d05b.jpg |  Volkswagen Golf Plus II1.4 MT (122 л.с.)  | #0000FF | 530 000 |  2010  |  103 982 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007222755-eaade2 | http://is2.auto.ru/all/images/22/b4/60x45/22b48f00.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #0000FF | 199 999 Правый руль |  2001  |  110 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222567-7c484 | http://is18.auto.ru/all/images/cf/06/60x45/cf068ecc.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #CACECB | 236 000 |  2000  |  317 000 км  |  1.6 AT (101 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007222615-9bdda | http://is5.auto.ru/all/images/ed/ef/60x45/edefe1db.jpg |  Volkswagen Caddy III1.9d MT (105 л.с.)  | #FFFFFF | 299 999 |  2006  |  98 000 км  |  1.9d MT (105 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1007222065-6435 | http://is15.auto.ru/all/images/b7/e0/60x45/b7e0026e.jpg |  Volkswagen Passat B62.0d MT (140 л.с.)  | #000000 | 539 900 |  2008  |  155 000 км  |  2.0d MT (140 л.с.)седан, дизель, передний  | Санкт-Петербург | 22.01.15
1007222609-6c20 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat CC I1.8 AT (160 л.с.)  | #9c9999 | 875 000 |  2010  |  88 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222411-d050c7 | http://is4.auto.ru/all/images/32/b5/60x45/32b50e3f.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 529 900 |  2012  |  36 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007222493-4c7f4 | http://is13.auto.ru/all/images/a8/db/60x45/a8db0aca.jpg |  Volkswagen Golf Plus I2.0 AT (150 л.с.)  | #0000FF | 399 999 |  2008  |  78 000 км  |  2.0 AT (150 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007222465-a685f | http://is6.auto.ru/all/images/34/23/60x45/3423b635.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 455 555 |  2008  |  65 424 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007221989-7219 | http://is17.auto.ru/all/images/f0/b5/60x45/f0b55e42.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 449 777 |  2010  |  117 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007222217-4393ec | http://is11.auto.ru/all/images/6c/a1/60x45/6ca15461.jpg |  Volkswagen Jetta IV1.8 AT (150 л.с.)  | #CACECB | 269 777 |  2003  |  180 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007222185-43ca | http://is5.auto.ru/all/images/b2/f8/60x45/b2f8b456.jpg |  Volkswagen Passat B62.0 AT (200 л.с.)  | #000000 | 649 777 |  2006  |  125 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007222137-5ecbe | http://is7.auto.ru/all/images/79/16/60x45/7916086f.jpg |  Volkswagen Routan3.8 AT (197 л.с.)  | #CACECB | 1 029 777 |  2008  |  67 200 км  |  3.8 AT (197 л.с.)минивэн, бензин, передний  | Санкт-Петербург | 22.01.15
1007221961-005f0b | http://is6.auto.ru/all/images/a4/72/60x45/a472748d.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #000000 | 1 499 777 |  2008  |  155 900 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 22.01.15
1007222245-0355 | http://is7.auto.ru/all/images/c2/4a/60x45/c24a2394.jpg |  Volkswagen Passat B62.0d MT (140 л.с.)  | #000000 | 525 000 |  2007  |  120 000 км  |  2.0d MT (140 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007222129-279b9 | http://is12.auto.ru/all/images/7b/08/60x45/7b081659.jpg |  Volkswagen Caddy III2.0d MT (70 л.с.)  | #FFFFFF | 277 777 |  2008  |  130 520 км  |  2.0d MT (70 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1007221985-74f3 | http://is6.auto.ru/all/images/21/cc/60x45/21ccede6.jpg |  Volkswagen Golf IV1.6 MT (110 л.с.)  | #0000FF | 277 777 |  2004  |  169 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007221303-2d879b | http://is15.auto.ru/all/images/61/8c/60x45/618cb947.jpg |  Volkswagen Passat B61.8 AT (152 л.с.)  | #9c9999 | 735 000 |  2010  |  75 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007221677-4c7de2 | http://is7.auto.ru/all/images/c5/d4/60x45/c5d4e550.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #CACECB | 1 230 000 |  2013  |  24 850 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 22.01.15
1007221403-6df20c | http://is10.auto.ru/all/images/6d/f5/60x45/6df5ea8c.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #926547 | 2 170 000 |  2011  |  92 268 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007221687-34e83 | http://is3.auto.ru/all/images/0f/5b/60x45/0f5b8025.jpg |  Volkswagen Multivan T52.5d AT (174 л.с.)  | #FFCC00 | 949 000 |  2004  |  93 000 км  |  2.5d AT (174 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007221601-c1f512 | http://is16.auto.ru/all/images/66/3b/60x45/663b6993.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #CACECB | 368 000 |  2004  |  149 405 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007221657-12c3f | http://is16.auto.ru/all/images/24/46/60x45/2446a084.jpg |  Volkswagen Scirocco III1.4 MT (160 л.с.)  | #000000 | 600 000 |  2008  |  80 000 км  |  1.4 MT (160 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007221655-759c63 | http://is4.auto.ru/all/images/fc/68/60x45/fc680d07.jpg |  Volkswagen Passat B41.8 MT (90 л.с.)  | #34ba2b | 211 111 |  1996  |  150 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1005125943-868e0 | http://is8.auto.ru/all/images/02/51/60x45/02516309.jpg |  Volkswagen Passat CC I Рестайлинг2.0 AT (210 л.с.)  | #FFFFFF | 1 376 672 |  2013  |  30 000 км  |  2.0 AT (210 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007221391-003848 | http://is13.auto.ru/all/images/89/95/60x45/89958702.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #000000 | 1 500 000 |  2011  |  75 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 22.01.15
1007221377-5aa6a0 | http://is9.auto.ru/all/images/b0/ff/60x45/b0ff9462.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FF0000 | 580 000 |  2010  |  95 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007221395-c8b9b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 600 000 |  2013  |  2 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007221131-8679d | http://is1.auto.ru/all/images/de/3f/60x45/de3f1f65.jpg |  Volkswagen Tiguan I2.0 AT (200 л.с.) 4WD  | #000000 | 870 000 |  2011  |  72 000 км  |  2.0 AT (200 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1005514195-4e970 | http://is3.auto.ru/all/images/43/08/60x45/4308edda.jpg |  Volkswagen Tiguan I2.0d AT (140 л.с.) 4WD  | #CACECB | 935 000 |  2010  |  69 000 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 22.01.15
