1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1006943025-0365 | http://is10.auto.ru/all/images/18/5f/60x45/185f7922.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 145 000 |  2000  |  150 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007052027-17ab5 | http://is2.auto.ru/all/images/89/85/60x45/89857594.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 530 000 |  2011  |  41 084 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Щелково | 21.01.15
1007110745-71b58 | http://is10.auto.ru/all/images/ce/5f/60x45/ce5f60ad.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #000000 | 169 000 |  2003  |  106 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1007186953-1139 | http://is11.auto.ru/all/images/75/cd/60x45/75cd8095.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 595 000 |  2014  |  14 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Вологда | 21.01.15
1007187431-1294ac | http://is16.auto.ru/all/images/3a/d3/60x45/3ad35678.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 595 000 |  2014  |  14 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ярославль | 21.01.15
1007179447-49c81 | http://is18.auto.ru/all/images/be/56/60x45/be56fd0e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 460 000 |  2011  |  37 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007037997-5806 | http://is18.auto.ru/all/images/b8/07/60x45/b8074da6.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FFFFFF | 573 000 |  2013  |  16 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Казань | 21.01.15
1007186577-e0d58 | http://is6.auto.ru/all/images/ca/22/60x45/ca2200e4.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 495 000 |  2011  |  107 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006466981-52bc48 | http://is6.auto.ru/all/images/5e/8f/60x45/5e8f520a.jpg |  Volkswagen Polo III1.6 MT (75 л.с.)  | #FF0000 | 140 000 |  1996  |  85 000 км  |  1.6 MT (75 л.с.)седан, бензин, передний  | Жуков | 21.01.15
1007051817-90b4 | http://is16.auto.ru/all/images/eb/2e/60x45/eb2e7e03.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 525 000 |  2013  |  59 495 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007185231-b2b1dc | http://is14.auto.ru/all/images/cd/10/60x45/cd102bff.jpg |  Volkswagen Polo III1.6 MT (100 л.с.)  | #0000FF | 223 000 |  2002  |  137 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007110789-40770 | http://is17.auto.ru/all/images/1e/31/60x45/1e313168.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 550 000 |  2013  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Золотухино | 21.01.15
1006747985-86557 | http://is1.auto.ru/all/images/ce/9d/60x45/ce9d3443.jpg |  Volkswagen Polo III1.4 MT (100 л.с.)  | #0000FF | 140 000 |  1998  |  250 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007182927-22f1 | http://is13.auto.ru/all/images/f1/32/60x45/f132e53a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 379 000 |  2011  |  96 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
49915296-be078 | http://is9.auto.ru/all/images/b6/92/60x45/b6921228.jpg |  Volkswagen Polo III1.7d MT (60 л.с.)  | #fde910 | 220 000 |  1999  |  160 000 км  |  1.7d MT (60 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 21.01.15
1007185015-ec00 | http://is17.auto.ru/all/images/a9/71/60x45/a971a4d4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 600 000 |  2013  |  8 800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Карачев | 21.01.15
1007108831-f27d | http://is17.auto.ru/all/images/59/be/60x45/59be184b.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #fde910 | 465 000 |  2011  |  77 577 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1006931437-5dfb | http://is2.auto.ru/all/images/b1/79/60x45/b179af97.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 440 000 |  2012  |  51 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тверь | 21.01.15
1007183631-4feb6 | http://is11.auto.ru/all/images/f4/66/60x45/f4669a87.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 710 000 |  2013  |  30 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Воронеж | 21.01.15
1006159099-546a73 | http://is3.auto.ru/all/images/f2/ad/60x45/f2ad98b5.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 530 000 |  2013  |  35 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1006026717-b4d33 | http://is12.auto.ru/all/images/be/ec/60x45/beec1189.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 650 000 |  2012  |  23 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006878983-b759a | http://is10.auto.ru/all/images/d6/9e/60x45/d69ea0de.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 465 000 |  2011  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Электросталь | 21.01.15
45959812-65e9 | http://is18.auto.ru/all/images/32/3a/60x45/323a40dd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 530 000 |  2011  |  30 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Выборг | 21.01.15
1006810849-7b0eb | http://is9.auto.ru/all/images/f8/a0/60x45/f8a09c1e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 425 000 |  2011  |  75 124 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005975321-181ec2 | http://is6.auto.ru/all/images/59/5f/60x45/595f21b6.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 599 000 |  2014  |  6 324 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007116625-5cb90 | http://is16.auto.ru/all/images/47/18/60x45/471868e1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 550 000 |  2012  |  67 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Белгород | 20.01.15
1006362439-c557 | http://is18.auto.ru/all/images/7f/9e/60x45/7f9eb702.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 615 000 |  2012  |  32 300 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007114255-68a6 | http://is2.auto.ru/all/images/ec/d7/60x45/ecd70e2d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 530 000 |  2012  |  37 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007115267-410d5f | http://is8.auto.ru/all/images/db/04/60x45/db048c32.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 550 000 |  2013  |  26 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 20.01.15
1007115283-3e487 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #CACECB | 193 000 |  2001  |  155 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Клин | 20.01.15
1005650237-101802 | http://is8.auto.ru/all/images/8b/8c/60x45/8b8cbe1e.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #CACECB | 155 000 |  2002  |  129 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 20.01.15
1007051821-082a0 | http://is17.auto.ru/all/images/15/f7/60x45/15f76315.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 600 000 |  2013  |  7 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 20.01.15
1007108135-fc0b8 | http://is4.auto.ru/all/images/09/c0/60x45/09c05ec3.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 470 000 |  2013  |  25 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006111457-659c | http://is17.auto.ru/all/images/56/e4/60x45/56e43341.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 507 000 |  2011  |  77 650 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006111437-40e2 | http://is14.auto.ru/all/images/16/79/60x45/16798874.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 520 000 |  2011  |  50 400 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006671981-3c2d51 | http://is17.auto.ru/all/images/cb/62/60x45/cb624673.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 633 000 |  2011  |  53 100 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006671991-4965 | http://is4.auto.ru/all/images/d8/75/60x45/d875a9c1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 640 000 |  2011  |  49 900 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006804905-9b186b | http://is3.auto.ru/all/images/d5/b7/60x45/d5b74852.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #926547 | 550 000 |  2011  |  60 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006732507-526a | http://is6.auto.ru/all/images/6d/a1/60x45/6da159a9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 495 000 |  2011  |  32 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Рославль | 20.01.15
1007109365-35ae35 | http://is8.auto.ru/all/images/1d/ec/60x45/1dec0802.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 540 000 |  2013  |  46 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007105673-cc95 | http://is3.auto.ru/all/images/98/57/60x45/985763f1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 560 000 |  2013  |  24 164 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Александров | 20.01.15
1007108787-5b042 | http://is2.auto.ru/all/images/c4/15/60x45/c415a77b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 550 000 |  2013  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Зеленоград | 20.01.15
1004432109-7367f | http://is7.auto.ru/all/images/59/eb/60x45/59eb40fd.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 575 000 |  2013  |  41 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007110259-14c7a | http://is4.auto.ru/all/images/39/41/60x45/394179d4.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 135 000 |  2001  |  282 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007108147-d0c027 | http://is10.auto.ru/all/images/dc/a4/60x45/dca4df2e.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 695 000 |  2014  |  9 778 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Новосибирск | 20.01.15
14265108-b824 | http://is14.auto.ru/all/images/d0/ff/60x45/d0ff1165.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 655 000 |  2011  |  32 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Иваново | 20.01.15
1005440889-adabb | http://is17.auto.ru/all/images/f7/3b/60x45/f73bd4f9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 453 000 |  2011  |  98 857 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007100917-2a9f8e | http://is7.auto.ru/all/images/76/4b/60x45/764bcdbe.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 449 000 |  2013  |  12 800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007037285-e157 | http://is18.auto.ru/all/images/b7/d0/60x45/b7d09ded.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 490 000 |  2011  |  49 600 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007108245-ec55 | http://is2.auto.ru/all/images/40/fa/60x45/40faad26.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 545 000 |  2012  |  31 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ростов-на-Дону | 20.01.15
1006411133-bd19 | http://is15.auto.ru/all/images/b6/a4/60x45/b6a4e2cd.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 500 000 |  2011  |  85 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007107147-35cd | http://is4.auto.ru/all/images/02/18/60x45/021821c5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 609 000 |  2013  |  21 700 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006847031-afa71 | http://is13.auto.ru/all/images/1f/5e/60x45/1f5ed9c7.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 514 900 |  2013  |  23 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007055659-4cf3f7 | http://is9.auto.ru/all/images/7d/0b/60x45/7d0b9295.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 390 000 |  2011  |  87 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005633033-25ebc | http://is6.auto.ru/all/images/4c/b7/60x45/4cb78f7a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 750 000 |  2014  |  4 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ярославль | 20.01.15
1007106403-968c9 | http://is18.auto.ru/all/images/c5/5a/60x45/c55aa7e8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 520 000 |  2012  |  22 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007105459-f148bf | http://is5.auto.ru/all/images/87/2a/60x45/872a7737.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 650 000 |  2013  |  13 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007104237-ab7f | http://is8.auto.ru/all/images/d3/16/60x45/d316a5bd.jpg |  Volkswagen Polo III1.4 MT (100 л.с.)  | #0000FF | 115 000 |  1998  |  260 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Сосновый Бор | 20.01.15
1007105113-d034f | http://is3.auto.ru/all/images/9b/38/60x45/9b38830a.jpg |  Volkswagen Polo III1.6 MT (75 л.с.)  | #000000 | 125 000 |  1997  |  180 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Клинцы | 20.01.15
1005973141-42c2a4 | http://is3.auto.ru/all/images/4e/2e/60x45/4e2e328f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 430 000 |  2010  |  70 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005180651-11e2 | http://is13.auto.ru/all/images/1d/ca/60x45/1dcaa165.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 410 000 |  2012  |  45 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Петрозаводск | 20.01.15
1007101869-939c | http://is18.auto.ru/all/images/3c/56/60x45/3c56b37a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 453 000 |  2011  |  19 700 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 20.01.15
1007102985-923851 | http://is6.auto.ru/all/images/b0/c2/60x45/b0c2a052.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #926547 | 625 000 |  2014  |  20 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007102097-d55f84 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 625 000 |  2013  |  33 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 20.01.15
1006982693-d26822 | http://is4.auto.ru/all/images/a5/a0/60x45/a5a0a63d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 649 000 |  2012  |  22 700 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005978083-048d02 | http://is3.auto.ru/all/images/d8/d0/60x45/d8d0b08d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 515 000 |  2011  |  48 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007101333-53ed58 | http://is9.auto.ru/all/images/44/e9/60x45/44e98343.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 615 200 |  2014  |  3 868 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Брянск | 20.01.15
1007035605-2fd4 | http://is5.auto.ru/all/images/aa/64/60x45/aa642926.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 499 000 |  2012  |  67 800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1006981815-81e3d9 | http://is11.auto.ru/all/images/1f/1c/60x45/1f1c4026.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 570 000 |  2013  |  21 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007046493-e5df | http://is4.auto.ru/all/images/36/b1/60x45/36b1cb0e.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 570 000 |  2013  |  23 521 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006994935-0ec3f | http://is6.auto.ru/all/images/22/70/60x45/2270fbe0.jpg |  Volkswagen Polo II1.0 MT (40 л.с.)  | #0000FF | 70 000 |  1984  |  180 000 км  |  1.0 MT (40 л.с.)хэтчбек, бензин, передний  | Брянск | 20.01.15
