1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1007159605-90fad | http://is11.auto.ru/all/images/23/11/60x45/231191d0.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #0000FF | 610 000 |  2003  |  162 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Подольск | 21.01.15
1007159909-68b6ad | http://is4.auto.ru/all/images/b0/10/60x45/b0106ede.jpg |  Audi A4 I (B5) Рестайлинг1.9d MT (116 л.с.)  | #9c9999 | 310 000 |  2000  |  290 000 км  |  1.9d MT (116 л.с.)седан, дизель, передний  | Москва | 21.01.15
1001616210-e8fd26 | http://is18.auto.ru/all/images/0a/c8/60x45/0ac8347f.jpg |  Audi A4 IV (B8) Рестайлинг3.0 AT (272 л.с.) 4WD  | #FFFFFF | 1 850 000 |  2013  |  28 500 км  |  3.0 AT (272 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 21.01.15
1004072642-61a55 | http://is8.auto.ru/all/images/c1/c7/60x45/c1c7cc24.jpg |  Audi A4 III (B7)1.6 MT (102 л.с.)  | #CACECB | 490 000 |  2006  |  138 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ярославль | 21.01.15
1007158677-1cbd | http://is3.auto.ru/all/images/30/5f/60x45/305fbc26.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #000000 | 370 000 |  2003  |  165 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Луховицы | 21.01.15
1007158373-0689 | http://is8.auto.ru/all/images/92/91/60x45/9291994b.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #0000FF | 410 000 |  2004  |  190 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1006981573-6f13 | http://is18.auto.ru/all/images/b8/5f/60x45/b85f81af.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 445 000 |  2004  |  213 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1006683803-29f211 | http://is15.auto.ru/all/images/2c/78/60x45/2c785592.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #0000FF | 350 000 |  2004  |  190 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005097479-5187 | http://is13.auto.ru/all/images/8a/26/60x45/8a265f1e.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #000000 | 950 000 |  2009  |  111 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Екатеринбург | 21.01.15
1007156779-cdad9b | http://is8.auto.ru/all/images/72/27/60x45/722718ce.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 247 000 |  2013  |  50 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007156575-2a60b8 | http://is18.auto.ru/all/images/ad/e1/60x45/ade1a520.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 347 100 |  2013  |  68 500 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007155895-98cc5 | http://is5.auto.ru/all/images/60/a0/60x45/60a0d334.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #CACECB | 444 444 |  2004  |  87 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007154787-382f | http://is2.auto.ru/all/images/6e/99/60x45/6e997420.jpg |  Audi A4 III (B7)1.9d MT (115 л.с.)  | #CACECB | 729 000 |  2007  |  80 000 км  |  1.9d MT (115 л.с.)универсал, дизель, передний  | Санкт-Петербург | 21.01.15
1007155673-2b934c | http://is2.auto.ru/all/images/e6/39/60x45/e6396bef.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 178 000 |  2013  |  39 019 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007155683-6e84 | http://is12.auto.ru/all/images/32/1d/60x45/321dbc79.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #0000FF | 1 260 000 |  2011  |  46 537 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 21.01.15
1007154057-f8b1a6 | http://is5.auto.ru/all/images/c9/51/60x45/c951ec0a.jpg |  Audi A4 IV (B8)1.8 MT (160 л.с.) 4WD  | #9c9999 | 720 000 |  2009  |  65 000 км  |  1.8 MT (160 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007152851-5e70 | http://is16.auto.ru/all/images/d3/4a/60x45/d34ad6bd.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 899 999 |  2009  |  75 236 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007152037-363e54 | http://is11.auto.ru/all/images/25/ea/60x45/25ea5ad9.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #FFFFFF | 377 777 |  2004  |  112 500 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007149529-1d65c4 | http://is17.auto.ru/all/images/01/09/60x45/010941a8.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 722 222 |  2010  |  54 265 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007151553-be75d2 | http://is14.auto.ru/all/images/a4/67/60x45/a467f3f6.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 745 000 |  2009  |  81 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007147161-9aed | http://is6.auto.ru/all/images/3b/52/60x45/3b52438f.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #0000FF | 299 999 |  2003  |  122 220 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007150981-4149e | http://is13.auto.ru/all/images/83/61/60x45/83610d1b.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #000000 | 798 000 |  2009  |  88 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007149901-3d6a7 | http://is11.auto.ru/all/images/79/72/60x45/7972e95f.jpg |  Audi A4 IV (B8) Рестайлинг1.8 MT (170 л.с.) 4WD  | #0000FF | 1 470 000 |  2013  |  54 000 км  |  1.8 MT (170 л.с.) 4WDуниверсал, бензин, полный  | Санкт-Петербург | 21.01.15
1007149393-d6bc | http://is9.auto.ru/all/images/43/8a/60x45/438a6274.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #000000 | 499 999 |  2007  |  74 542 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007147057-57ff | /i/all7/img/no-photo-thumb.gif |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #FFFFFF | 2 000 000 |  2014  |  11 000 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007146729-27ab5f | http://is17.auto.ru/all/images/fd/38/60x45/fd386604.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #CACECB | 599 999 |  2006  |  87 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007084415-82eb9 | http://is12.auto.ru/all/images/2d/e2/60x45/2de2e552.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 655 555 |  2008  |  89 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007143375-ad8f49 | http://is16.auto.ru/all/images/fa/f1/60x45/faf173e7.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #FF0000 | 930 000 |  2009  |  83 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007120579-bfcf | http://is8.auto.ru/all/images/a0/06/60x45/a0068247.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #FFFFFF | 817 000 |  2009  |  110 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Москва | 21.01.15
1007119515-15e8b | http://is8.auto.ru/all/images/59/50/60x45/59505bd1.jpg |  Audi A4 II (B6)1.9d CVT (130 л.с.)  | #0000FF | 399 000 |  2004  |  196 000 км  |  1.9d CVT (130 л.с.)седан, дизель, передний  | Санкт-Петербург | 21.01.15
47424638-2f9a | http://is2.auto.ru/all/images/23/f3/60x45/23f34cc1.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #000000 | 1 419 000 |  2014  |  450 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
39903048-6cc1 | http://is7.auto.ru/all/images/ed/30/60x45/ed30c6b9.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.)  | #000000 | 450 000 |  2004  |  224 000 км  |  2.0 MT (130 л.с.)универсал, бензин, передний  | Москва | 21.01.15
1006748855-731d | http://is6.auto.ru/all/images/fc/e0/60x45/fce0d67c.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #CACECB | 370 000 |  2001  |  170 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Тверь | 21.01.15
1007118977-d7a18c | http://is18.auto.ru/all/images/6c/47/60x45/6c47d73d.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 230 000 |  2012  |  66 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007118375-5658 | http://is3.auto.ru/all/images/eb/69/60x45/eb69ad1b.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 769 000 |  2009  |  85 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
1007118419-4c642 | /i/all7/img/no-photo-thumb.gif |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.) 4WD  | #CACECB | 185 000 |  1999  |  288 000 км  |  1.8 AT (150 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007117401-eaa4 | http://is2.auto.ru/all/images/8e/6d/60x45/8e6d9711.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #34ba2b | 210 000 |  1998  |  195 000 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1007117243-3be4 | http://is18.auto.ru/all/images/e7/80/60x45/e780fdf1.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 595 000 |  2006  |  150 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007117535-9d5e78 | http://is16.auto.ru/all/images/8e/c3/60x45/8ec349e6.jpg |  Audi A4 I (B5)1.9d MT (90 л.с.)  | #0000FF | 240 000 |  1995  |  430 000 км  |  1.9d MT (90 л.с.)седан, дизель, передний  | Бежецк | 20.01.15
1006816113-d44b06 | http://is6.auto.ru/all/images/45/a3/60x45/45a3c5da.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.) 4WD  | #FFFFFF | 260 000 |  1999  |  230 000 км  |  1.8 AT (150 л.с.) 4WDседан, бензин, полный  | Порецкое | 20.01.15
1005647581-e9b6 | http://is14.auto.ru/all/images/c4/1d/60x45/c41d7509.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (150 л.с.)  | #0000FF | 280 000 |  1998  |  300 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007117281-6818fc | http://is12.auto.ru/all/images/09/01/60x45/0901c18d.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 940 000 |  2008  |  94 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Москва | 20.01.15
1006754499-22ff92 | http://is2.auto.ru/all/images/3e/37/60x45/3e37d32f.jpg |  Audi A4 II (B6)2.0 CVT (150 л.с.)  | #0000FF | 393 000 |  2004  |  143 000 км  |  2.0 CVT (150 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1006861483-be7e | http://is15.auto.ru/all/images/54/f1/60x45/54f1831d.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (170 л.с.) 4WD  | #0000FF | 335 000 |  2001  |  155 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 20.01.15
1006748973-8021 | http://is6.auto.ru/all/images/32/87/60x45/32879088.jpg |  Audi A4 IV (B8)2.0 AT (270 л.с.)  | #000000 | 1 250 000 |  2010  |  66 000 км  |  2.0 AT (270 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006749127-34650c | http://is9.auto.ru/all/images/24/07/60x45/2407b028.jpg |  Audi A4 IV (B8)2.0 AT (270 л.с.)  | #000000 | 1 250 000 |  2010  |  66 000 км  |  2.0 AT (270 л.с.)седан, бензин, передний  | Кострома | 20.01.15
1007117017-b7d2 | http://is6.auto.ru/all/images/da/e0/60x45/dae075ab.jpg |  Audi A4 IV (B8)2.0 CVT (211 л.с.)  | #FFFFFF | 820 000 |  2009  |  85 000 км  |  2.0 CVT (211 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007033731-d4b30 | http://is10.auto.ru/all/images/2b/78/60x45/2b7849ce.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 610 000 |  2008  |  135 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Лобня | 20.01.15
1006212755-3234f | http://is17.auto.ru/all/images/76/0b/60x45/760b1133.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #000000 | 275 000 |  2000  |  211 000 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Щелково | 20.01.15
1006471795-8673f0 | http://is18.auto.ru/all/images/38/c7/60x45/38c782c2.jpg |  Audi A4 II (B6)2.4 CVT (170 л.с.)  | #CACECB | 400 000 |  2002  |  146 200 км  |  2.4 CVT (170 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006988193-9d41 | http://is17.auto.ru/all/images/ae/0f/60x45/ae0fc0bf.jpg |  Audi A4 II (B6)1.9d MT (100 л.с.)  | #9c9999 | 340 000 |  2001  |  290 000 км  |  1.9d MT (100 л.с.)универсал, дизель, передний  | Алушта | 20.01.15
49761174-78c1a0 | http://is9.auto.ru/all/images/26/f9/60x45/26f9d9e9.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #FFFFFF | 1 150 000 |  2011  |  56 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Сургут | 20.01.15
1007111857-b8780 | http://is3.auto.ru/all/images/e9/36/60x45/e936c467.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 785 000 |  2008  |  126 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006267697-4809 | http://is5.auto.ru/all/images/89/0b/60x45/890b436b.jpg |  Audi A4 II (B6)1.8 CVT (163 л.с.)  | #FF0000 | 390 000 |  2004  |  310 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Егорьевск | 20.01.15
1005648821-ad29 | http://is1.auto.ru/all/images/05/8e/60x45/058ee44e.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 349 000 |  2002  |  165 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Селятино | 20.01.15
1007115371-9f6360 | http://is9.auto.ru/all/images/5d/cf/60x45/5dcf9bd3.jpg |  Audi A4 IV (B8)1.8 MT (120 л.с.)  | #000000 | 730 000 |  2008  |  133 000 км  |  1.8 MT (120 л.с.)седан, бензин, передний  | Алексеевка | 20.01.15
1006811271-ff38 | http://is15.auto.ru/all/images/99/53/60x45/9953fa22.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FF0000 | 1 400 000 |  2013  |  12 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 20.01.15
1003788492-febb6 | http://is2.auto.ru/all/images/27/df/60x45/27dfb5df.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 840 000 |  2010  |  113 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 20.01.15
1003559896-31da | http://is5.auto.ru/all/images/1c/08/60x45/1c0835ee.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 450 000 |  2004  |  188 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Смоленск | 20.01.15
1003778716-baf500 | http://is15.auto.ru/all/images/4d/14/60x45/4d14954f.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #FFFFFF | 1 550 000 |  2012  |  50 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 20.01.15
1006360971-df9d8 | http://is2.auto.ru/all/images/d2/d8/60x45/d2d8bb0d.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 500 000 |  2006  |  134 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006523195-5dda | http://is12.auto.ru/all/images/fa/db/60x45/fadbafd2.jpg |  Audi A4 I (B5) Рестайлинг2.4 AT (165 л.с.)  | #0000FF | 280 000 |  2000  |  265 000 км  |  2.4 AT (165 л.с.)седан, бензин, передний  | Тверь | 20.01.15
1007113861-2c4989 | http://is18.auto.ru/all/images/55/57/60x45/55578a83.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 980 000 |  2011  |  48 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 20.01.15
47779446-15bac | http://is18.auto.ru/all/images/13/c2/60x45/13c29bf3.jpg |  Audi A4 II (B6)1.6 MT (102 л.с.)  | #CACECB | 425 000 |  2001  |  162 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Киров | 20.01.15
43887442-6b9c89 | http://is11.auto.ru/all/images/e8/24/60x45/e8244b7f.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #0000FF | 365 000 |  2002  |  150 000 км  |  2.0 CVT (130 л.с.)универсал, бензин, передний  | Воронеж | 20.01.15
1007112469-2c231 | http://is13.auto.ru/all/images/c0/97/60x45/c09716a8.jpg |  Audi A4 I (B5)1.8 MT (150 л.с.)  | #000000 | 245 000 |  1997  |  130 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Старый Оскол | 20.01.15
1003213322-cb86 | http://is4.auto.ru/all/images/53/2b/60x45/532b44e5.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #0000FF | 280 000 |  2001  |  240 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Рязань | 20.01.15
47207712-1403e9 | http://is14.auto.ru/all/images/24/2a/60x45/242a5915.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 150 000 |  1995  |  320 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Владимир | 20.01.15
1001357817-23c11 | http://is6.auto.ru/all/images/32/57/60x45/32578413.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #9c9999 | 1 600 000 |  2012  |  55 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Пенза | 20.01.15
1005640401-36ed64 | http://is7.auto.ru/all/images/87/61/60x45/876176be.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.)  | #FF0000 | 420 000 |  2004  |  142 000 км  |  2.0 MT (130 л.с.)универсал, бензин, передний  | Киров | 20.01.15
1006921939-fca2 | http://is7.auto.ru/all/images/f0/86/60x45/f08680f1.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #000000 | 1 730 000 |  2013  |  5 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Владимир | 20.01.15
1006795155-68ea | http://is5.auto.ru/all/images/25/5f/60x45/255f1430.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #FFFFFF | 1 770 000 |  2014  |  3 127 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Владимир | 20.01.15
