36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1006874927-d4fab6 | http://is5.auto.ru/all/images/65/08/60x45/65080ce3.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 245 000 |  2008  |  98 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Набережные Челны | 16.01.15
1006628087-b3a281 | http://is9.auto.ru/all/images/91/f9/60x45/91f94538.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 210 000 |  2005  |  125 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 16.01.15
1004146895-8afb | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 205 000 |  2006  |  200 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Калуга | 16.01.15
1006516347-db27 | http://is12.auto.ru/all/images/f1/cc/60x45/f1cc2346.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #FFFFFF | 659 000 |  2014  |  8 800 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Курск | 16.01.15
1002487129-019c92 | http://is8.auto.ru/all/images/c2/5a/60x45/c25af427.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFFFFF | 355 000 |  2011  |  52 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Торжок | 16.01.15
1002730269-76099b | http://is14.auto.ru/all/images/b1/f6/60x45/b1f654be.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 190 000 |  2007  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Щекино | 16.01.15
1004973693-b58a3c | http://is17.auto.ru/all/images/0a/17/60x45/0a175b84.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 290 000 |  2007  |  87 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тамбов | 16.01.15
38993424-47fc63 | http://is9.auto.ru/all/images/86/af/60x45/86afddd2.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 240 000 |  2012  |  115 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Людиново | 16.01.15
1006878079-7a598 | http://is10.auto.ru/all/images/bc/00/60x45/bc002aa5.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 420 000 |  2010  |  59 631 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 16.01.15
1004635167-002a1 | http://is3.auto.ru/all/images/8e/f3/60x45/8ef36cf1.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 410 000 |  2013  |  45 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1006879075-5eba | http://is9.auto.ru/all/images/aa/8c/60x45/aa8cc8c0.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 300 000 Правый руль |  2012  |  75 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Курск | 16.01.15
1005974539-be7ed3 | http://is9.auto.ru/all/images/b3/bf/60x45/b3bfff29.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 258 000 |  2011  |  98 127 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Щелково | 17.01.15
1006878737-5fd6 | http://is11.auto.ru/all/images/7d/9f/60x45/7d9f438f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 205 000 |  2007  |  93 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Дубна | 17.01.15
1006257765-68cfa | http://is18.auto.ru/all/images/db/48/60x45/db48945f.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 385 000 |  2013  |  14 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 17.01.15
1006922215-6334 | http://is5.auto.ru/all/images/d1/37/60x45/d137f5ef.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 205 000 |  2006  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 17.01.15
1004895885-32ac4 | http://is9.auto.ru/all/images/eb/be/60x45/ebbe045b.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #FF0000 | 471 240 |  2011  |  88 923 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006806825-2fda00 | http://is5.auto.ru/all/images/33/14/60x45/33142ad5.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 330 000 |  2010  |  45 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 17.01.15
1006519433-04fd8 | http://is18.auto.ru/all/images/74/79/60x45/74797024.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 230 000 |  2007  |  107 240 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006263407-efeb | http://is14.auto.ru/all/images/52/c2/60x45/52c2e29c.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 235 000 |  2010  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Боровичи | 17.01.15
1006752077-a6cdb | http://is9.auto.ru/all/images/59/e9/60x45/59e96407.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 261 000 |  2007  |  98 500 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 17.01.15
1006926391-6c877 | http://is15.auto.ru/all/images/36/e9/60x45/36e9f961.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 365 000 |  2011  |  57 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Воронеж | 17.01.15
1006461285-a7ec | http://is11.auto.ru/all/images/ca/9c/60x45/ca9cb6f9.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 220 000 |  2006  |  135 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Великий Новгород | 17.01.15
1006927697-0e7d | http://is9.auto.ru/all/images/21/86/60x45/2186088f.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 225 000 |  2006  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Псков | 17.01.15
1006928277-8cd07 | http://is9.auto.ru/all/images/fc/0a/60x45/fc0a8803.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 375 000 |  2013  |  19 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Обнинск | 17.01.15
1006928157-a114c | http://is11.auto.ru/all/images/4b/43/60x45/4b43a36a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 280 000 |  2010  |  96 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Владимир | 17.01.15
1006928145-4e51b | http://is3.auto.ru/all/images/4c/d6/60x45/4cd662ce.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 215 000 |  2008  |  187 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006928909-66d8c | http://is9.auto.ru/all/images/9d/c2/60x45/9dc24b0c.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 135 000 |  2008  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 17.01.15
1005922033-68c6f | http://is1.auto.ru/all/images/d9/5b/60x45/d95b1dd1.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 355 000 |  2010  |  76 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006864099-c1ad95 | http://is14.auto.ru/all/images/34/7f/60x45/347fa907.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 265 000 |  2011  |  56 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Киров | 17.01.15
1002112455-0296 | http://is13.auto.ru/all/images/3f/c7/60x45/3fc703b9.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 200 000 |  2007  |  174 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Покров | 17.01.15
1006929645-66e7bd | http://is2.auto.ru/all/images/2d/46/60x45/2d467226.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 310 000 |  2013  |  40 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006876335-2ccea | http://is8.auto.ru/all/images/d9/45/60x45/d945620f.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 360 000 |  2013  |  59 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Смоленск | 17.01.15
1005376807-fd7c0c | http://is12.auto.ru/all/images/4d/9f/60x45/4d9f3550.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CC0033 | 360 000 |  2011  |  45 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Кострома | 17.01.15
1006518729-8d29e | http://is2.auto.ru/all/images/c4/d6/60x45/c4d616a9.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 422 000 |  2014  |  4 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006931257-1329e2 | http://is7.auto.ru/all/images/87/2e/60x45/872ebd04.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 345 000 |  2009  |  43 800 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тюмень | 17.01.15
1006511417-e98e | http://is10.auto.ru/all/images/ad/48/60x45/ad48b10f.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 270 000 |  2009  |  92 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 17.01.15
47917422-db5f8 | http://is3.auto.ru/all/images/3b/fe/60x45/3bfe8c6f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 265 000 |  2008  |  87 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006933607-59c9c2 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 320 000 |  2008  |  42 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Мичуринск | 17.01.15
1006933769-db52 | http://is12.auto.ru/all/images/28/09/60x45/2809a481.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0088ff | 325 000 |  2010  |  60 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Муром | 17.01.15
1006866505-154332 | http://is10.auto.ru/all/images/fd/28/60x45/fd287ebe.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 309 000 |  2009  |  89 900 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1004635869-f1c99a | http://is3.auto.ru/all/images/41/17/60x45/4117f336.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 250 000 |  2006  |  208 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 17.01.15
1006934921-2157 | http://is9.auto.ru/all/images/21/80/60x45/2180b9f0.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 242 000 |  2007  |  99 700 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006464183-8979 | http://is5.auto.ru/all/images/af/57/60x45/af57319c.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 300 000 |  2011  |  78 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Великий Новгород | 17.01.15
1006934907-034f | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 261 000 |  2007  |  34 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Киров | 17.01.15
1006931111-b35f6 | http://is9.auto.ru/all/images/21/0f/60x45/210f1eba.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 390 000 |  2013  |  55 700 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Орел | 17.01.15
1006935551-922571 | http://is13.auto.ru/all/images/0c/5b/60x45/0c5be191.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 300 000 |  2008  |  106 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Орел | 17.01.15
1006935757-d30e | http://is16.auto.ru/all/images/3e/b3/60x45/3eb340c0.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 289 000 |  2009  |  97 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Смоленск | 17.01.15
1006879181-5b35e | http://is9.auto.ru/all/images/05/65/60x45/0565c57e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 235 000 |  2007  |  103 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006935983-0d2250 | http://is16.auto.ru/all/images/93/2e/60x45/932ee925.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 260 000 |  2009  |  85 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Балахна | 17.01.15
48207816-705e | http://is5.auto.ru/all/images/f9/5d/60x45/f95d9b2b.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 170 000 |  2005  |  124 369 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Пено | 17.01.15
1006936763-1328 | http://is3.auto.ru/all/images/0d/79/60x45/0d799841.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 355 000 |  2010  |  65 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Серпухов | 18.01.15
1006759657-55fa58 | http://is18.auto.ru/all/images/61/78/60x45/61783e99.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 310 000 |  2010  |  52 546 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006936949-5fa8 | http://is15.auto.ru/all/images/93/7c/60x45/937c3b2d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 220 000 |  2008  |  82 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006415969-ab3f8 | http://is2.auto.ru/all/images/db/48/60x45/db483bf4.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 196 000 |  2008  |  93 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 18.01.15
45198534-1754d6 | http://is1.auto.ru/all/images/17/e8/60x45/17e89726.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 182 500 |  2007  |  115 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006976819-6468 | http://is15.auto.ru/all/images/dc/ed/60x45/dcedd0b9.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2006  |  158 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 18.01.15
1006977317-31f3 | http://is13.auto.ru/all/images/e1/d4/60x45/e1d4db53.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 340 000 |  2010  |  68 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Воронеж | 18.01.15
1002745323-9d524 | http://is12.auto.ru/all/images/36/64/60x45/3664aeb1.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 247 000 |  2008  |  72 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Приволжск | 18.01.15
1006978249-531c | http://is10.auto.ru/all/images/ea/f6/60x45/eaf686ac.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 216 000 |  2009  |  77 400 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 18.01.15
42529978-6ff06e | http://is14.auto.ru/all/images/c1/a7/60x45/c1a71cc4.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 227 317 |  2005  |  61 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006935483-9a7212 | http://is18.auto.ru/all/images/ff/60/60x45/ff606264.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 360 000 |  2013  |  32 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006979267-8dfda6 | http://is12.auto.ru/all/images/d3/a2/60x45/d3a289cd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 250 000 |  2008  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006980215-116234 | http://is10.auto.ru/all/images/98/4c/60x45/984ca337.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 190 000 |  2006  |  89 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Нижний Новгород | 18.01.15
1006979985-5412 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 260 000 |  2010  |  160 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Сочи | 18.01.15
1006979813-b62d75 | http://is11.auto.ru/all/images/09/45/60x45/0945d5fd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2006  |  92 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Иваново | 18.01.15
1003143532-e6cb06 | http://is3.auto.ru/all/images/ef/8f/60x45/ef8facae.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 295 000 |  2008  |  70 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Обнинск | 18.01.15
1006982237-639bb | http://is17.auto.ru/all/images/fe/19/60x45/fe19b624.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 300 000 |  2011  |  36 800 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Великий Новгород | 18.01.15
1006114617-6f21ae | http://is16.auto.ru/all/images/5e/c1/60x45/5ec122ef.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 380 000 |  2010  |  67 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Белгород | 18.01.15
1006982973-2b90fa | http://is7.auto.ru/all/images/67/37/60x45/67373d8b.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 220 000 |  2006  |  200 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Королев | 18.01.15
